RecordNumber,Zipcode,ZipCodeType,City,State,Lat,Long
25705,45212,STANDARD,CINCINNATI,OH,39.09,-84.51
25706,45212,STANDARD,NORWOOD,OH,39.09,-84.51
25707,45213,STANDARD,CINCINNATI,OH,39.09,-84.51
25708,45213,STANDARD,TAFT,OH,39.09,-84.51
25709,45213,STANDARD,KENNEDY HEIGHTS,OH,39.09,-84.51
25710,45213,STANDARD,PLEASANT RIDGE,OH,39.09,-84.51
25711,45214,STANDARD,CINCINNATI,OH,39.09,-84.51
25712,45214,STANDARD,QUEEN CITY,OH,39.09,-84.51
25713,45214,STANDARD,FAIRMOUNT,OH,39.09,-84.51
25714,45215,STANDARD,CINCINNATI,OH,39.09,-84.51
25715,45215,STANDARD,ARLINGTON HEIGHTS,OH,39.09,-84.51
25716,45215,STANDARD,ARLINGTON HTS,OH,39.09,-84.51
25717,45215,STANDARD,LOCKLAND,OH,39.09,-84.51
25718,45215,STANDARD,READING,OH,39.09,-84.51
25719,45215,STANDARD,WYOMING,OH,39.09,-84.51
25720,45215,STANDARD,EVENDALE,OH,39.09,-84.51
25721,45215,STANDARD,LINCOLN HEIGHTS,OH,39.09,-84.51
25722,45215,STANDARD,WOODLAWN,OH,39.09,-84.51
25723,45216,STANDARD,CINCINNATI,OH,39.09,-84.51
25724,45216,STANDARD,ELMWOOD PL,OH,39.09,-84.51
25725,45216,STANDARD,ELMWOOD PLACE,OH,39.09,-84.51
25726,45216,STANDARD,SAINT BERNARD,OH,39.09,-84.51
25727,45216,STANDARD,CARTHAGE,OH,39.09,-84.51
25728,45216,STANDARD,VALLEYDALE,OH,39.09,-84.51
25729,45217,STANDARD,CINCINNATI,OH,39.09,-84.51
25730,45217,STANDARD,SAINT BERNARD,OH,39.09,-84.51
25731,45217,STANDARD,IVORYDALE,OH,39.09,-84.51
25732,45218,STANDARD,CINCINNATI,OH,39.09,-84.51
25733,45218,STANDARD,PARKDALE,OH,39.09,-84.51
25734,45219,STANDARD,CINCINNATI,OH,39.09,-84.51
25735,45219,STANDARD,CLIFTON,OH,39.09,-84.51
25736,45219,STANDARD,CORRYVILLE,OH,39.09,-84.51
25737,45219,STANDARD,MT AUBURN,OH,39.09,-84.51
25738,45220,STANDARD,CINCINNATI,OH,39.09,-84.51
25739,45220,STANDARD,BURNET WOODS,OH,39.09,-84.51
25740,45220,STANDARD,CLIFTON,OH,39.09,-84.51
25741,45221,UNIQUE,CINCINNATI,OH,39.09,-84.51
25742,45221,UNIQUE,UNIVERSITY OF CINCINNATI,OH,39.09,-84.51
25743,45222,PO BOX,CINCINNATI,OH,39.09,-84.51
25744,45222,PO BOX,ROSELAWN,OH,39.09,-84.51
25745,45222,PO BOX,ROSELAWN FINANCE,OH,39.09,-84.51
25746,45223,STANDARD,CINCINNATI,OH,39.09,-84.51
25747,45223,STANDARD,CUMMINSVILLE,OH,39.09,-84.51
25748,45223,STANDARD,NORTHSIDE,OH,39.09,-84.51
25749,45224,STANDARD,CINCINNATI,OH,39.09,-84.51
25750,45224,STANDARD,COLG HILL STA,OH,39.09,-84.51
25751,45224,STANDARD,COLLEGE HL,OH,39.09,-84.51
25752,45224,STANDARD,N COLLEGE HL,OH,39.09,-84.51
25753,45224,STANDARD,FINNEYTOWN,OH,39.09,-84.51
25754,45225,STANDARD,CINCINNATI,OH,39.09,-84.51
25755,45225,STANDARD,CAMP WASHINGTON,OH,39.09,-84.51
25756,45226,STANDARD,CINCINNATI,OH,39.09,-84.51
25757,45226,STANDARD,EAST END,OH,39.09,-84.51
25758,45227,STANDARD,CINCINNATI,OH,39.09,-84.51
25759,45227,STANDARD,FAIRFAX,OH,39.09,-84.51
25760,45227,STANDARD,MARIEMONT,OH,39.09,-84.51
25761,45229,STANDARD,CINCINNATI,OH,39.09,-84.51
25762,45229,STANDARD,AVONDALE,OH,39.09,-84.51
25763,45230,STANDARD,CINCINNATI,OH,39.09,-84.51
25764,45230,STANDARD,ANDERSON TOWNSHIP,OH,39.09,-84.51
25765,45230,STANDARD,ANDERSON TWP,OH,39.09,-84.51
25766,45230,STANDARD,MOUNT WASHING,OH,39.09,-84.51
25767,45230,STANDARD,MOUNT WASHINGTON,OH,39.09,-84.51
25768,45231,STANDARD,CINCINNATI,OH,39.09,-84.51
25769,45231,STANDARD,MOUNT HEALTHY,OH,39.09,-84.51
25770,45231,STANDARD,WYOMING,OH,39.09,-84.51
25771,45231,STANDARD,FINNEYTOWN,OH,39.09,-84.51
25772,45231,STANDARD,N COLLEGE HL,OH,39.09,-84.51
25773,45232,STANDARD,CINCINNATI,OH,39.09,-84.51
25774,45232,STANDARD,SAINT BERNARD,OH,39.09,-84.51
25775,45233,STANDARD,CINCINNATI,OH,39.09,-84.51
25776,45233,STANDARD,SAYLER PARK,OH,39.09,-84.51
25777,45233,STANDARD,SAYLER PARK FINANCE,OH,39.09,-84.51
25778,45234,PO BOX,CINCINNATI,OH,39.09,-84.51
25779,45234,PO BOX,U S P S PM MSC OFC,OH,39.09,-84.51
25780,45235,PO BOX,CINCINNATI,OH,39.09,-84.51
25781,45236,STANDARD,CINCINNATI,OH,39.09,-84.51
